Skills,Experience (Years),Education,Certifications,Job Role,Projects Count,strength
"TensorFlow, NLP",6,PhD,AWS Certified,AI Researcher,8,Strong
"Cybersecurity, Linux, Ethical Hacking",2,PhD,None,Cybersecurity Analyst,10,Strong
"SQL, Machine Learning, Deep Learning",8,M.Tech,None,Data Scientist,8,Strong
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,None,Cybersecurity Analyst,1,Strong
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,AWS Certified,Data Scientist,0,Strong
"Pytorch, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,9,Average
"Python, Machine Learning, SQL",9,PhD,Google ML,Data Scientist,10,Strong
"C++, React, SQL",0,MBA,None,Software Engineer,7,Average
"C++, SQL",8,B.Sc,Google ML,Software Engineer,8,Strong
"NLP, Python, Pytorch, TensorFlow",3,MBA,AWS Certified,AI Researcher,6,Strong
"C++, Java, SQL",6,MBA,AWS Certified,Software Engineer,1,Strong
"TensorFlow, Pytorch, NLP, Python",1,B.Tech,AWS Certified,AI Researcher,2,Average
"Cybersecurity, Linux, Ethical Hacking, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,8,Strong
"Python, NLP",3,B.Sc,None,AI Researcher,7,Strong
"React, C++, SQL, Java",7,M.Tech,Google ML,Software Engineer,10,Strong
"SQL, Deep Learning, Machine Learning",9,B.Sc,Google ML,Data Scientist,0,Strong
"TensorFlow, NLP, Python",9,MBA,Google ML,AI Researcher,7,Strong
"Python, SQL, Machine Learning",3,B.Tech,AWS Certified,Data Scientist,4,Strong
"NLP, Python",10,PhD,Google ML,AI Researcher,10,Strong
"SQL, C++, Java",6,MBA,None,Software Engineer,1,Strong
"Pytorch, NLP, Python, TensorFlow",1,M.Tech,Google ML,AI Researcher,7,Strong
"SQL, Deep Learning",0,PhD,Deep Learning Specialization,Data Scientist,8,Average
"React, SQL, Java",10,B.Sc,Deep Learning Specialization,Software Engineer,3,Strong
"SQL, Deep Learning, Machine Learning",1,MBA,None,Data Scientist,8,Average
"Pytorch, TensorFlow, NLP",2,M.Tech,Google ML,AI Researcher,4,Average
"Python, NLP",5,B.Sc,Google ML,AI Researcher,8,Strong
"Networking, Cybersecurity, Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,9,Strong
"React, C++, Java, SQL",5,M.Tech,Google ML,Software Engineer,4,Strong
"Networking, Ethical Hacking, Linux, Cybersecurity",3,PhD,Google ML,Cybersecurity Analyst,9,Strong
"React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,10,Strong
"Cybersecurity, Ethical Hacking, Linux, Networking",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,0,Weak
"React, Java",4,PhD,Google ML,Software Engineer,6,Strong
"Cybersecurity, Linux, Ethical Hacking",0,B.Sc,None,Cybersecurity Analyst,9,Average
"Deep Learning, Machine Learning",0,MBA,Deep Learning Specialization,Data Scientist,5,Weak
"TensorFlow, NLP",0,B.Tech,Google ML,AI Researcher,9,Average
"Linux, Networking, Cybersecurity, Ethical Hacking",8,PhD,AWS Certified,Cybersecurity Analyst,10,Strong
"SQL, Machine Learning, Python, Deep Learning",7,M.Tech,Deep Learning Specialization,Data Scientist,3,Strong
